,Txn Hash,UnixTimestamp,Date Time (UTC),Action,Buyer,NFT,Token ID,Type,Quantity,Price,Market
0,0xe0b5ef547abe4628ee2a90644884dbe8942d81cd0037d51698b359abb91c5b7a,1554743316,2019-04-08 17:08:36,Bought,0xe10824fd1ffb9951215025eb26cda42d2d8d9c4c,Autoglyphs,443,721,1,2 ETH ($362.12),OpenSea
1,0xa21914f1288eca72ab5f4306da39b8b73740b9c6b8d5f04bdfd538ead5d68208,1554746274,2019-04-08 17:57:54,Bought,0x198712f02dec362773a6d451c86b68930742dd6c,Autoglyphs,485,721,1,1.49 ETH ($269.78),OpenSea
2,0x954f5bf37607832d00b2d26fc6434e27b6fc4f79023d71dc9547988b3e33cf68,1554757794,2019-04-08 21:09:54,Bought,0x7fd81a88f3915197f0d5a4d84e9448fe3327a131,Autoglyphs,149,721,1,2 ETH ($362.12),OpenSea
3,0x3792a09a5d7e02d41973bcb43478f0cee52bf54fdcff8cf2b9d43901bfa6c413,1554758913,2019-04-08 21:28:33,Bought,0x91d6e260a5965a3c33d5bc4bf4adcf96c449ed2e,Autoglyphs,270,721,1,1.1 ETH ($199.17),OpenSea
4,0xef90723c10169c781b2aa6512fcd4175e877d662349c7bb8a924459973a6be3a,1554768269,2019-04-09 00:04:29,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,262,721,1,1.2 ETH ($211.56),OpenSea
5,0xff2742ef97ee9160ee196824e8162a31818d39f76959da146dbccbded016b9e5,1554789069,2019-04-09 05:51:09,Bought,0x84ecb387395a1be65e133c75ff9e5fcc6f756db3,Autoglyphs,424,721,1,1 ETH ($176.30),OpenSea
6,0xe26a71888b73e894b2a737caa12c6f341c14a01ce638911a9ea9bd1191bd29e7,1554814432,2019-04-09 12:53:52,Bid Won,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,240,721,1,0.8 WETH ($141.04),OpenSea
7,0x4b717d6b36c98431c15aaf5957f60e4075955eb8a8bd81876933266a9ea65068,1554833947,2019-04-09 18:19:07,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,434,721,1,1 WETH ($176.30),OpenSea
8,0xadbd98298116e3f2d590c21ae6c0948526db9ff9a04d3bb9c4bce52fa7f5aae5,1554833995,2019-04-09 18:19:55,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,478,721,1,1 WETH ($176.30),OpenSea
9,0x583c56f3133cf008aa1b7938f781f8f1a0ed139af0a42b6b50a6afe809cf51a9,1554834376,2019-04-09 18:26:16,Bid Won,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,Autoglyphs,488,721,1,4 WETH ($705.20),OpenSea
10,0x0a071ecb527dee399a8513ef5275636851774cb3966f05401cfcb33f78d5ae3f,1554834566,2019-04-09 18:29:26,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,297,721,1,1 WETH ($176.30),OpenSea
11,0x61215653a5cc8bcae8f0c45a712ca91e1311456758113cf614c672a5533d359c,1554834601,2019-04-09 18:30:01,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,395,721,1,1 WETH ($176.30),OpenSea
12,0x1ed78405284192e684e7ed0421f435a0b113d52ddd7614b73dd0aed2fb8b83ad,1554835389,2019-04-09 18:43:09,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,369,721,1,1 WETH ($176.30),OpenSea
13,0xf16b67302c85c629480478e8fadd949cfc42707c2a6b2198e4a3d6f31ded9d8c,1554835452,2019-04-09 18:44:12,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,389,721,1,1 WETH ($176.30),OpenSea
14,0x99806839bb3036e78172aca913015106379a3f4e9e76dc949676a94fb4d70d61,1554835566,2019-04-09 18:46:06,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,441,721,1,1 WETH ($176.30),OpenSea
15,0x3dcf5917ceba3b8889467f7ca806f264c8ad57b89f9e0b586e31198a022a6143,1554841429,2019-04-09 20:23:49,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,332,721,1,1.2 WETH ($211.56),OpenSea
16,0x75956552b99c5749b5f08f7605fd7efa8e8f27f671eaae8208ebf292f1a740eb,1554841474,2019-04-09 20:24:34,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,479,721,1,1.2 WETH ($211.56),OpenSea
17,0xc1cf7fcbe45feb6395c71e8d69e7fcd7a6236c8496c1f7e7edb7f9cf944bbb9a,1554842264,2019-04-09 20:37:44,Bought,0x63a9dbce75413036b2b778e670aabd4493aaf9f3,Autoglyphs,284,721,1,1.2 ETH ($211.56),OpenSea
18,0xeab9c769059b596e69efb2137f5de84d626b367eb4ff4d50647a9f23d5e21cb6,1554851026,2019-04-09 23:03:46,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,399,721,1,1.05 WETH ($185.12),OpenSea
19,0x078b7657a29f28551484b08f78348cb5d3a2ccda1deb250135ed3adecb1c6918,1554924452,2019-04-10 19:27:32,Bought,0x63a9dbce75413036b2b778e670aabd4493aaf9f3,Autoglyphs,502,721,1,1.674158690001465496 ETH ($296.98),OpenSea
20,0x71b64f51d820d7fbc443dd4e72757f1789b3587350cb22c020141d4ce9be1b0c,1554953522,2019-04-11 03:32:02,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Autoglyphs,152,721,1,2 ETH ($330.48),OpenSea
21,0x1325e9c48fe002f8511a96390dab7fa043647af8cc696ec81ea5d2a3459bb04e,1555003611,2019-04-11 17:26:51,Bought,0x29a9c76ad091c015c12081a1b201c3ea56884579,Autoglyphs,306,721,1,1.9 ETH ($313.96),OpenSea
22,0xe6e7ae49ce3e4b0818c65c9cb7d17a6b47b09efa0ff68c7bc2252aa68fc444a2,1555243189,2019-04-14 11:59:49,Bought,0x4059457092cc3812d56676df6a75fd21204fbe2f,Autoglyphs,265,721,1,2 ETH ($337.36),OpenSea
23,0xfa07e29aab440c11f5eb2a30b4853ea46982ee574aeb52476b0affac391601c4,1555255511,2019-04-14 15:25:11,Bid Won,0xf2e4a3639b7dc9c7084ae59f7c511a9a1f807d1e,Autoglyphs,280,721,1,1.731428571428571428 WETH ($292.06),OpenSea
24,0xfa07e29aab440c11f5eb2a30b4853ea46982ee574aeb52476b0affac391601c4,1555255511,2019-04-14 15:25:11,Bid Won,0xf2e4a3639b7dc9c7084ae59f7c511a9a1f807d1e,Autoglyphs,317,721,1,1.731428571428571428 WETH ($292.06),OpenSea
25,0xfa07e29aab440c11f5eb2a30b4853ea46982ee574aeb52476b0affac391601c4,1555255511,2019-04-14 15:25:11,Bid Won,0xf2e4a3639b7dc9c7084ae59f7c511a9a1f807d1e,Autoglyphs,352,721,1,1.731428571428571428 WETH ($292.06),OpenSea
26,0xfa07e29aab440c11f5eb2a30b4853ea46982ee574aeb52476b0affac391601c4,1555255511,2019-04-14 15:25:11,Bid Won,0xf2e4a3639b7dc9c7084ae59f7c511a9a1f807d1e,Autoglyphs,375,721,1,1.731428571428571428 WETH ($292.06),OpenSea
27,0xfa07e29aab440c11f5eb2a30b4853ea46982ee574aeb52476b0affac391601c4,1555255511,2019-04-14 15:25:11,Bid Won,0xf2e4a3639b7dc9c7084ae59f7c511a9a1f807d1e,Autoglyphs,388,721,1,1.731428571428571428 WETH ($292.06),OpenSea
28,0xfa07e29aab440c11f5eb2a30b4853ea46982ee574aeb52476b0affac391601c4,1555255511,2019-04-14 15:25:11,Bid Won,0xf2e4a3639b7dc9c7084ae59f7c511a9a1f807d1e,Autoglyphs,412,721,1,1.731428571428571428 WETH ($292.06),OpenSea
29,0xfa07e29aab440c11f5eb2a30b4853ea46982ee574aeb52476b0affac391601c4,1555255511,2019-04-14 15:25:11,Bid Won,0xf2e4a3639b7dc9c7084ae59f7c511a9a1f807d1e,Autoglyphs,418,721,1,1.731428571428571428 WETH ($292.06),OpenSea
30,0x6e0a6c3bdc5a13c1f3a678e139cabc4bb514c2bf55507cc5d87a93957d965ce5,1555269000,2019-04-14 19:10:00,Bought,0x74ecabb119ef525e14e367f71f43834f21afaf85,Autoglyphs,292,721,1,1.99 ETH ($335.67),OpenSea
31,0xabbbdfdf8a432f598c9c6d66f811138b01220c594cddecc522a2a8fd763c4324,1555269333,2019-04-14 19:15:33,Bought,0x1040fe4bdc7284b7c6aab19de812c84be1758c7f,Autoglyphs,382,721,1,2.45 ETH ($413.27),OpenSea
32,0x770bf41c7a40a2adf664f411a941fcd1c7b0fb7729442bbd3f9efb46e074e170,1556606543,2019-04-30 06:42:23,Bought,0x14e0c25b35a0fe5c62bb8eb0c8064e6fae290f8e,Autoglyphs,447,721,1,1.541040226985544946 ETH ($253.33),OpenSea
33,0x82dd05ce51e28b4f54504272863998d44fffa6dcef36f824a670b59a6c9b9cd1,1556806771,2019-05-02 14:19:31,Bought,0x4090b585c6ba6f8d8cbd76aa805f28069c732ca3,Autoglyphs,494,721,1,1.307556601612130652 ETH ($210.90),OpenSea
34,0xedc286697550ce9bb9a8d9b1295759386ab55242e857afad24dfb86584731ca6,1556984120,2019-05-04 15:35:20,Bid Won,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,493,721,1,0.2 WETH ($32.72),OpenSea
35,0x09b9b5ab08d735a3eed9a918559956182de796bab6fe3c81524aa1828d79d1ee,1556984940,2019-05-04 15:49:00,Bought,0x14e0c25b35a0fe5c62bb8eb0c8064e6fae290f8e,Autoglyphs,495,721,1,1.332029818857766517 ETH ($217.93),OpenSea
36,0xd025e874d65b64eed97ffb0897d260088bd03a85cc6a9844b8817ae22b82f970,1556987288,2019-05-04 16:28:08,Bought,0xf3860788d1597cecf938424baabe976fac87dc26,Autoglyphs,226,721,1,1.500139693203966957 ETH ($245.44),OpenSea
37,0x2d1b9b1e7e0eb794e31d598f7c5bf3f6c4df021652d9fb6623ca449a1d62a1a2,1557147693,2019-05-06 13:01:33,Bid Won,0x14e0c25b35a0fe5c62bb8eb0c8064e6fae290f8e,Autoglyphs,397,721,1,1.5 WETH ($260.55),OpenSea
38,0x0a518f9f0b7fcb0e2434d4110ba42113294e84be707d0bda1e45e48b8f39eeba,1557276665,2019-05-08 00:51:05,Bid Won,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,405,721,1,0.8 WETH ($137.14),OpenSea
39,0xe9d3cde3e870e1b810bd1d59127ed5901e850eee5da686f05772f1686639b338,1557403109,2019-05-09 11:58:29,Bid Won,0x5492e0112e49e5fed0a7b1278c76df655e509a99,Autoglyphs,131,721,1,0.8 WETH ($136.69),OpenSea
40,0xeccf0593733e8ca7690194f32c2d06509f3ea49c8c34ec5190216be83ca0c1f3,1557823338,2019-05-14 08:42:18,Bought,0xcfe0137ab4318af4f1eb38287c6b37c186869784,Autoglyphs,314,721,1,1.69 ETH ($367.00),OpenSea
41,0x21bc479b30af4c5a95ad1aac52948924583c217e8bbaf59939d85a894ee2eec6,1557869277,2019-05-14 21:27:57,Bid Won,0x5492e0112e49e5fed0a7b1278c76df655e509a99,Autoglyphs,326,721,1,0.8 WETH ($173.73),OpenSea
42,0xa0e4bdd21a44c334303efc60b3ba3c8839bbc14f18fd8b62e5f67125233f3f53,1558193464,2019-05-18 15:31:04,Bid Won,0x5492e0112e49e5fed0a7b1278c76df655e509a99,Autoglyphs,397,721,1,0.8 WETH ($187.17),OpenSea
43,0xbba480ab63f45aa7545c45fdd883551764469294537d5f300945f38b03872d93,1558193547,2019-05-18 15:32:27,Bid Won,0x5492e0112e49e5fed0a7b1278c76df655e509a99,Autoglyphs,495,721,1,1 WETH ($233.96),OpenSea
44,0x34d09502831c889caecda69f2481d41e8fdcaf925d3c9d312b78d30311bbb1b8,1558356643,2019-05-20 12:50:43,Bid Won,0x5492e0112e49e5fed0a7b1278c76df655e509a99,Autoglyphs,306,721,1,0.8 WETH ($201.68),OpenSea
45,0xf98877f07a430334c314654f3d05868d9f5f35ca5283b8b71c27df5057b095ea,1558440327,2019-05-21 12:05:27,Bought,0x104d7c320963e7914a570e9a511c5b1d545e4aba,Autoglyphs,163,721,1,2 ETH ($509.88),OpenSea
46,0xd1c018c4b51dfd19d989fae15a967e99bbab49d317f09da9e58391a6ddff7bc0,1558569461,2019-05-22 23:57:41,Bought,0xec8e80f7bfae9608e7ec926d36390817bcf0c574,Autoglyphs,397,721,1,1.39 ETH ($338.41),OpenSea
47,0x5dfdbb5e9d6524a9ea0d81115f65ef56704b2a60537a1692833e6a8fc9484348,1558622114,2019-05-23 14:35:14,Bought,0x16205a6048b6af17f1ac1a009bbf2ed9289e6921,Autoglyphs,326,721,1,1.29 ETH ($316.82),OpenSea
48,0xf6b0d3f4bde07623a1bd24c3cd482b680f92215f0693d731c2fb0d12271d3ba5,1558651510,2019-05-23 22:45:10,Bought,0x7e5280b7b81c35b2a8eeac329d8a51ade5c6f354,Autoglyphs,428,721,1,"6 ETH ($1,473.60)",OpenSea
49,0x4782752d6c39025a317cfd81f823981767584f962fa354e146c4c5593937c259,1558668225,2019-05-24 03:23:45,Bought,0x748044889b60230f7b27039893b6805a8686b286,Autoglyphs,291,721,1,1.299 ETH ($324.24),OpenSea
50,0x09bb39a8393b8b3dd4ed612fd040c35d68e9ecc4920c6bee5c0e4f42bfb3ed33,1559369963,2019-06-01 06:19:23,Bought,0xb3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,Autoglyphs,154,721,1,2 ETH ($529.42),OpenSea
51,0x03dfcb33fa4548f8fe9eea1c7db9376bd6b3318ffb24ee07e3893ab1685b239b,1559583753,2019-06-03 17:42:33,Bought,0xdf6c54d14f848d1c4be972d97eb2809fe92b38a2,Autoglyphs,311,721,1,"15 ETH ($3,744.15)",OpenSea
52,0xb475b621d08b45b597db98333dbedf50d29d7affae571c2019166cfe32e804f8,1559836420,2019-06-06 15:53:40,Bought,0x104d7c320963e7914a570e9a511c5b1d545e4aba,Autoglyphs,306,721,1,1.29 ETH ($321.76),OpenSea
53,0x094cff48d95447392a995bb3b0ecd60a6fbde2f07acd96e7137debc0a883b422,1559973125,2019-06-08 05:52:05,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,456,721,1,1.35 ETH ($329.94),OpenSea
54,0xfa8b66fdf771e919c35be1d0584b54414f257dfc506e4cea88e9fa648c1e5247,1560027352,2019-06-08 20:55:52,Bid Won,0xdf6c54d14f848d1c4be972d97eb2809fe92b38a2,Autoglyphs,334,721,1,"7.5 WETH ($1,833.00)",OpenSea
55,0x6f782f0d02af41981a1343a78c2f64eab6c293364728ba45e19240c79cb2e099,1560028426,2019-06-08 21:13:46,Bought,0xdf6c54d14f848d1c4be972d97eb2809fe92b38a2,Autoglyphs,469,721,1,1.35 ETH ($329.94),OpenSea
56,0xcb6bda1b637bd6bb956695dba0b34291e78bbc78d61166b0992afba37c200d36,1560266920,2019-06-11 15:28:40,Bought,0xc96f7911f2bc9aa20307a3a5024ae5e0a63d98f9,Autoglyphs,296,721,1,2.5 ETH ($612.90),OpenSea
57,0x0fc4d65f9753d26478004a4032d8d402a8f6512dd4f88233da5c408db31bddd4,1560267078,2019-06-11 15:31:18,Bought,0xc96f7911f2bc9aa20307a3a5024ae5e0a63d98f9,Autoglyphs,506,721,1,1.9 ETH ($465.80),OpenSea
58,0xe52906d374be50bb603dbb90a5579b97365402b162bd32b255a5e51443aa7c5b,1560275164,2019-06-11 17:46:04,Bought,0xdf6c54d14f848d1c4be972d97eb2809fe92b38a2,Autoglyphs,424,721,1,1.3 ETH ($318.71),OpenSea
59,0x7fb65dc312bdebe177b9359c562186a3af2ef7ab75421ca500aed4d517c0a649,1560450807,2019-06-13 18:33:27,Bought,0xdf6c54d14f848d1c4be972d97eb2809fe92b38a2,Autoglyphs,129,721,1,"5 ETH ($1,275.45)",OpenSea
60,0xbda7a0b921b309856838abdb531f59e6d7888ef88c7fca590b59b2108df177da,1560456889,2019-06-13 20:14:49,Bought,0xf3860788d1597cecf938424baabe976fac87dc26,Autoglyphs,198,721,1,1.355493892589181076 ETH ($345.77),OpenSea
61,0xcfc393800e0f0f162e1ba91accd19aca5f434c909bf3b440d3030d50a99da8dc,1561789494,2019-06-29 06:24:54,Bought,0xc96f7911f2bc9aa20307a3a5024ae5e0a63d98f9,Autoglyphs,268,721,1,3 ETH ($951.96),OpenSea
62,0x6e3983c0448b1062c3c8218d36c55b2f5a13dd529a7a0f196f49e02e48360279,1563394533,2019-07-17 20:15:33,Bid Won,0x21207a653e3089d19f4fe2a5e30ebb3b0a0729e9,Autoglyphs,260,721,1,1 WETH ($211.29),OpenSea
63,0x77b0d2824f5f11cb5481e376ad6bc65cc7d1e977b86b384fc01d0fb6f7b89c72,1564196365,2019-07-27 02:59:25,Bid Won,0x9ccb56764694727dfa99fb2ecf067ded44c1349f,Autoglyphs,447,721,1,1.04 WETH ($228.64),OpenSea
64,0x794ddbb368d612c98fa8e8f4a3b63a10cc73fb81c5563095e81d4384f83f25d8,1564498585,2019-07-30 14:56:25,Bid Won,0x3ef5f421e155ed29e6fa815fd875bfcd5f22ecd1,Autoglyphs,424,721,1,1.1 WETH ($230.80),OpenSea
65,0x50319b2dd5ecf15069bcd6b66de77613ad93c45e8e5fd1ef427d931038e0d4c1,1564665870,2019-08-01 13:24:30,Bought,0x3ef5f421e155ed29e6fa815fd875bfcd5f22ecd1,Autoglyphs,469,721,1,1.1 ETH ($239.26),OpenSea
66,0x9c1db65eb44bb59b60ba37cda0c8996e93d7186b73377b921a523e9a5f89ff7c,1564741160,2019-08-02 10:19:20,Bought,0xc96f7911f2bc9aa20307a3a5024ae5e0a63d98f9,Autoglyphs,258,721,1,1.99 ETH ($433.22),OpenSea
67,0xc81d22f79d4ab434c11e5ad27d56a89c69e09f9e703476a41693c84c91e4c6f2,1564752903,2019-08-02 13:35:03,Bought,0x78f0269f5b1ca914c8c58993f41181f89e212b27,Autoglyphs,504,721,1,0.99 ETH ($215.52),OpenSea
68,0x607c57026cf4186a8e592b843dd1f8bb81afeada30d3222baf0f9f8aed7b9fe4,1566310799,2019-08-20 14:19:59,Bought,0x5ffc2d9c857c36089d3789f2d0cca1077497d3ca,Autoglyphs,383,721,1,1.5 ETH ($294.83),OpenSea
69,0xbef5f93f8762da4ac0f13a03e9f83ea2339127c1a422992471108b936f5ad174,1567893657,2019-09-07 22:00:57,Bid Won,0x5ceabc55690b7c42b8929ce806d20db70d886cca,Autoglyphs,278,721,1,1 WETH ($178.32),OpenSea
70,0x01e3eb804d4b14b6193031ee9905e31b70d087bbd17a46c72210fdd7163bdbdb,1568800420,2019-09-18 09:53:40,Bid Won,0x1ba3b51d19ac5db17dddf66d1393b8019c744c9a,Autoglyphs,183,721,1,0.85 WETH ($178.93),OpenSea
71,0xd8b9f4363a3ed560e15b1ff55f907503cb5cec3eaedf2d04d5ec64e1bd94960b,1568803093,2019-09-18 10:38:13,Bid Won,0x5492e0112e49e5fed0a7b1278c76df655e509a99,Autoglyphs,340,721,1,0.8 WETH ($168.40),OpenSea
72,0x4dd105fc3a5f7a0022918d5d68d28666e1c89a1dfc2c0b30337caa08b3aa8095,1568810233,2019-09-18 12:37:13,Bid Won,0x78f0269f5b1ca914c8c58993f41181f89e212b27,Autoglyphs,498,721,1,0.9 WETH ($189.45),OpenSea
73,0x8a090a110f8a95d04fdc4124a293b43df55b6ec7f58e4220cfb6bc9823ef4da9,1571031972,2019-10-14 05:46:12,Bought,0x530cf036ed4fa58f7301a9c788c9806624cefd19,Autoglyphs,340,721,1,0.82 ETH ($153.31),OpenSea
74,0xcfba1eada83c118c09f804aa8e08cea30d3631e547ca40867202dfc9da3b5bdf,1571896154,2019-10-24 05:49:14,Bought,0x6853a596d6d7264d3622546da3b891b6fe17eb82,Autoglyphs,495,721,1,0.89 ETH ($143.35),OpenSea
75,0x1a7ff62875ef943745d0e8d4c88ba3d3f33d90558885d9136bcbbdaf9d610b23,1572443248,2019-10-30 13:47:28,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,379,721,1,1 ETH ($183.52),OpenSea
76,0x916b2f24f330a977d82b32a104b81ab6df2a306a39cc3181cec0463be06eb22a,1572558913,2019-10-31 21:55:13,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,371,721,1,0.89 ETH ($162.51),OpenSea
77,0x3a668a92d9828306a39557426ed915d0b70034d43f25adf8d5bece162bb0d9ae,1572559116,2019-10-31 21:58:36,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,387,721,1,1 ETH ($182.59),OpenSea
78,0xbee5d8654d1970d2a78ca6b819cc5c6b3f969753cfefc8f457a1e8142bf36f55,1572559116,2019-10-31 21:58:36,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,267,721,1,1 ETH ($182.59),OpenSea
79,0xfd6107869cec4e293e5ae0b169ec7da1cf914a6ea21245c679ae6ed4bc439ded,1572559140,2019-10-31 21:59:00,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,414,721,1,1 ETH ($182.59),OpenSea
80,0xfb342512c603ed047b5c3ee4c3258421d3ac8e0a403ab7c3d0506c337476542a,1572559140,2019-10-31 21:59:00,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,458,721,1,1 ETH ($182.59),OpenSea
81,0x475f9c641c83196035024b00594849b1c2b52efb52c4630e72902a170481305b,1572559196,2019-10-31 21:59:56,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,427,721,1,1 ETH ($182.59),OpenSea
82,0xf41fd8ad3c33d719b63404af346ed84116106ee903b3b425e92fb7349f5c440a,1572559219,2019-10-31 22:00:19,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,470,721,1,1 ETH ($182.59),OpenSea
83,0x829d0737454663a065408d483a747c4a8faf822ee40d9a962103ca6758bd921e,1572559728,2019-10-31 22:08:48,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,283,721,1,1 ETH ($182.59),OpenSea
84,0xb68bebbaba02bffc4e79480bea59a06042271b0a261bceb321326dce88419133,1572559728,2019-10-31 22:08:48,Bought,0xdc19d539369c3da9172de453c05bc503c9ac6bc2,Autoglyphs,394,721,1,1 ETH ($182.59),OpenSea
85,0xedd5315c8fe78b67443c8a54c90a1dee99dcc6e5b68fa6e122046c0d470de06b,1572576252,2019-11-01 02:44:12,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,227,721,1,1 ETH ($183.40),OpenSea
86,0x159100623dab3761afb19d4b1e9f28c8baa8b5a8049d6c9e9e3e20b57cd45804,1572576405,2019-11-01 02:46:45,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,464,721,1,1 ETH ($183.40),OpenSea
87,0x5d24ec60b2dac2fd42def734d43d825c8917e36055f71f229b407852fd890535,1572883120,2019-11-04 15:58:40,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,359,721,1,0.99 ETH ($184.63),OpenSea
88,0x67ef8352fc6bfedbeee54e339561705fb6c9b3291b808c9c8e32eae7ef64cfc7,1573091823,2019-11-07 01:57:03,Bought,0x2269522ad48aeb971b25042471a44acc8c1b5eca,Autoglyphs,376,721,1,0.99 ETH ($184.67),OpenSea
89,0xb8c4fa5a16ae5baef48e984edbf4a0adf47310b59df22fbcdfae031b037e1211,1573100717,2019-11-07 04:25:17,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,338,721,1,1 ETH ($186.54),OpenSea
90,0x69a62b8b160c9e247f0e163ada35abec7d4035a188d2e5e6dbad726765b467bd,1573132855,2019-11-07 13:20:55,Bought,0xc35a5fec6be6957899e15559be252db882220b37,Autoglyphs,204,721,1,1.433333333333333333 ETH ($267.37),OpenSea
91,0x69a62b8b160c9e247f0e163ada35abec7d4035a188d2e5e6dbad726765b467bd,1573132855,2019-11-07 13:20:55,Bought,0xc35a5fec6be6957899e15559be252db882220b37,Autoglyphs,264,721,1,1.433333333333333333 ETH ($267.37),OpenSea
92,0x69a62b8b160c9e247f0e163ada35abec7d4035a188d2e5e6dbad726765b467bd,1573132855,2019-11-07 13:20:55,Bought,0xc35a5fec6be6957899e15559be252db882220b37,Autoglyphs,404,721,1,1.433333333333333333 ETH ($267.37),OpenSea
93,0xe2a11a3031de659aca47e762c9baaf52793bca137658f2abd763404246546534,1573631815,2019-11-13 07:56:55,Bid Won,0x76ac6b8eedbb634261e9fa4bf25152a09e1eb90e,Autoglyphs,453,721,1,0.45 WETH ($84.65),OpenSea
94,0x03460e95f8a59b411d7fbbcc376a581cd25db780ed25f45c6a834824eccd1cfb,1573912239,2019-11-16 13:50:39,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,202,721,1,1.055555555555555555 ETH ($192.76),OpenSea
95,0x03460e95f8a59b411d7fbbcc376a581cd25db780ed25f45c6a834824eccd1cfb,1573912239,2019-11-16 13:50:39,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,223,721,1,1.055555555555555555 ETH ($192.76),OpenSea
96,0x03460e95f8a59b411d7fbbcc376a581cd25db780ed25f45c6a834824eccd1cfb,1573912239,2019-11-16 13:50:39,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,250,721,1,1.055555555555555555 ETH ($192.76),OpenSea
97,0x03460e95f8a59b411d7fbbcc376a581cd25db780ed25f45c6a834824eccd1cfb,1573912239,2019-11-16 13:50:39,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,285,721,1,1.055555555555555555 ETH ($192.76),OpenSea
98,0x03460e95f8a59b411d7fbbcc376a581cd25db780ed25f45c6a834824eccd1cfb,1573912239,2019-11-16 13:50:39,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,287,721,1,1.055555555555555555 ETH ($192.76),OpenSea
99,0x03460e95f8a59b411d7fbbcc376a581cd25db780ed25f45c6a834824eccd1cfb,1573912239,2019-11-16 13:50:39,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,344,721,1,1.055555555555555555 ETH ($192.76),OpenSea
100,0x03460e95f8a59b411d7fbbcc376a581cd25db780ed25f45c6a834824eccd1cfb,1573912239,2019-11-16 13:50:39,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,400,721,1,1.055555555555555555 ETH ($192.76),OpenSea
101,0x03460e95f8a59b411d7fbbcc376a581cd25db780ed25f45c6a834824eccd1cfb,1573912239,2019-11-16 13:50:39,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,466,721,1,1.055555555555555555 ETH ($192.76),OpenSea
102,0x03460e95f8a59b411d7fbbcc376a581cd25db780ed25f45c6a834824eccd1cfb,1573912239,2019-11-16 13:50:39,Bought,0x89447f2ca722481d1399ae08b4d7e9471883f6c8,Autoglyphs,477,721,1,1.055555555555555555 ETH ($192.76),OpenSea
103,0xe1f860a2316029bb3f8896c5a827f3629e120247d5fd1ff0ed4d4636f039142f,1575703188,2019-12-07 07:19:48,Bought,0x748044889b60230f7b27039893b6805a8686b286,Autoglyphs,305,721,1,3 ETH ($443.37),OpenSea
